word,translation
"what kind of", "quel type de"
"concierge services","Conciergerie"
"would you like", "souhaitez-vous"
"seasonal rental management","Gestion locative saisonnière"
"AirBnB","AirBnB"
"Paris","Paris"
"welcome","Bienvenue"
"services","Prestations"
"growth","Croissance"
"real estate","Immobilière"
"2018","2018"
"quality","Qualité"
"property management","Gestion de propriétés"
"short-term rental","Location courte durée"
"real estate services","Services immobiliers"
"tourist accommodation","Hébergement touristique"
"property maintenance","Entretien de propriété"
"tenant reception","Accueil de locataires"
"client experience","Expérience client"
"booking management","Gestion de réservations"
"Parisian market","Marché parisien"
